value,key
12,2011-01-24 22-39
13,2011-01-24 22-40
4,2011-01-24 22-41
9,2011-01-24 22-42
15,2011-01-24 22-43
10,2011-01-24 22-44
5,2011-01-24 22-45
8,2011-01-24 22-46
11,2011-01-24 22-47
14,2011-01-24 22-48
15,2011-01-24 22-49
10,2011-01-24 22-50
18,2011-01-24 22-51
10,2011-01-24 22-52
6,2011-01-24 22-53
15,2011-01-24 22-54
10,2011-01-24 22-55
12,2011-01-24 22-56
25,2011-01-24 22-57
22,2011-01-24 22-58
7,2011-01-24 22-59
15,2011-01-24 23-00
5,2011-01-24 23-01
19,2011-01-24 23-02
21,2011-01-24 23-03
10,2011-01-24 23-04
43,2011-01-24 23-05
7,2011-01-24 23-06
10,2011-01-24 23-07
13,2011-01-24 23-08
10,2011-01-24 23-09
9,2011-01-24 23-10
17,2011-01-24 23-11
12,2011-01-24 23-12
16,2011-01-24 23-13
11,2011-01-24 23-14
11,2011-01-24 23-15
20,2011-01-24 23-16
13,2011-01-24 23-17
13,2011-01-24 23-18
16,2011-01-24 23-19
10,2011-01-24 23-20
12,2011-01-24 23-21
17,2011-01-24 23-22
24,2011-01-24 23-23
16,2011-01-24 23-24
15,2011-01-24 23-25
19,2011-01-24 23-26
21,2011-01-24 23-27
16,2011-01-24 23-28
9,2011-01-24 23-29
17,2011-01-24 23-30
14,2011-01-24 23-31
15,2011-01-24 23-32
21,2011-01-24 23-33
16,2011-01-24 23-34
17,2011-01-24 23-35
14,2011-01-24 23-36
15,2011-01-24 23-37
9,2011-01-24 23-38
9,2011-01-24 23-39
15,2011-01-24 23-40
25,2011-01-24 23-41
18,2011-01-24 23-42
10,2011-01-24 23-43
14,2011-01-24 23-44
15,2011-01-24 23-45
11,2011-01-24 23-46
12,2011-01-24 23-47
12,2011-01-24 23-48
15,2011-01-24 23-49
19,2011-01-24 23-50
18,2011-01-24 23-51
16,2011-01-24 23-52
18,2011-01-24 23-53
18,2011-01-24 23-54
7,2011-01-24 23-55
7,2011-01-24 23-56
11,2011-01-24 23-57
4,2011-01-24 23-58
10,2011-01-24 23-59
13,2011-01-25 00-00
48,2011-01-25 00-01
19,2011-01-25 00-02
12,2011-01-25 00-03
20,2011-01-25 00-04
12,2011-01-25 00-05
15,2011-01-25 00-06
18,2011-01-25 00-07
19,2011-01-25 00-08
32,2011-01-25 00-09
15,2011-01-25 00-10
26,2011-01-25 00-11
18,2011-01-25 00-12
21,2011-01-25 00-13
15,2011-01-25 00-14
21,2011-01-25 00-15
20,2011-01-25 00-16
15,2011-01-25 00-17
13,2011-01-25 00-18
13,2011-01-25 00-19
21,2011-01-25 00-20
22,2011-01-25 00-21
13,2011-01-25 00-22
23,2011-01-25 00-23
10,2011-01-25 00-24
22,2011-01-25 00-25
23,2011-01-25 00-26
21,2011-01-25 00-27
17,2011-01-25 00-28
28,2011-01-25 00-29
29,2011-01-25 00-30
29,2011-01-25 00-31
30,2011-01-25 00-32
17,2011-01-25 00-33
15,2011-01-25 00-34
25,2011-01-25 00-35
27,2011-01-25 00-36
17,2011-01-25 00-37
17,2011-01-25 00-38
21,2011-01-25 00-39
12,2011-01-25 00-40
27,2011-01-25 00-41
25,2011-01-25 00-42
23,2011-01-25 00-43
32,2011-01-25 00-44
22,2011-01-25 00-45
17,2011-01-25 00-46
15,2011-01-25 00-47
15,2011-01-25 00-48
22,2011-01-25 00-49
14,2011-01-25 00-50
21,2011-01-25 00-51
37,2011-01-25 00-52
31,2011-01-25 00-53
13,2011-01-25 00-54
7,2011-01-25 00-58
27,2011-01-25 00-59
22,2011-01-25 01-00
35,2011-01-25 01-01
24,2011-01-25 01-02
22,2011-01-25 01-03
27,2011-01-25 01-04
20,2011-01-25 01-05
30,2011-01-25 01-06
36,2011-01-25 01-07
28,2011-01-25 01-08
20,2011-01-25 01-09
13,2011-01-25 01-10
24,2011-01-25 01-11
30,2011-01-25 01-12
29,2011-01-25 01-13
23,2011-01-25 01-14
22,2011-01-25 01-15
24,2011-01-25 01-16
22,2011-01-25 01-17
30,2011-01-25 01-18
20,2011-01-25 01-19
15,2011-01-25 01-20
21,2011-01-25 01-21
21,2011-01-25 01-22
34,2011-01-25 01-23
42,2011-01-25 01-24
22,2011-01-25 01-25
27,2011-01-25 01-26
29,2011-01-25 01-27
34,2011-01-25 01-28
13,2011-01-25 01-29
14,2011-01-25 01-30
23,2011-01-25 01-31
22,2011-01-25 01-32
27,2011-01-25 01-33
22,2011-01-25 01-34
13,2011-01-25 01-35
26,2011-01-25 01-36
31,2011-01-25 01-37
30,2011-01-25 01-38
23,2011-01-25 01-39
12,2011-01-25 01-40
20,2011-01-25 01-41
34,2011-01-25 01-42
23,2011-01-25 01-43
28,2011-01-25 01-44
18,2011-01-25 01-45
27,2011-01-25 01-46
23,2011-01-25 01-47
30,2011-01-25 01-48
28,2011-01-25 01-49
17,2011-01-25 01-51
34,2011-01-25 01-52
40,2011-01-25 01-53
41,2011-01-25 01-54
6,2011-01-25 01-58
13,2011-01-25 01-59
15,2011-01-25 02-00
46,2011-01-25 02-01
25,2011-01-25 02-02
20,2011-01-25 02-03
26,2011-01-25 02-04
27,2011-01-25 02-05
24,2011-01-25 02-06
27,2011-01-25 02-07
27,2011-01-25 02-08
17,2011-01-25 02-09
22,2011-01-25 02-10
22,2011-01-25 02-11
16,2011-01-25 02-12
25,2011-01-25 02-13
32,2011-01-25 02-14
18,2011-01-25 02-15
20,2011-01-25 02-16
24,2011-01-25 02-17
21,2011-01-25 02-18
29,2011-01-25 02-19
18,2011-01-25 02-20
16,2011-01-25 02-21
34,2011-01-25 02-22
40,2011-01-25 02-23
31,2011-01-25 02-24
13,2011-01-25 02-25
25,2011-01-25 02-26
25,2011-01-25 02-27
42,2011-01-25 02-28
24,2011-01-25 02-29
16,2011-01-25 02-30
17,2011-01-25 02-31
39,2011-01-25 02-32
35,2011-01-25 02-33
24,2011-01-25 02-34
4,2011-01-25 02-35
31,2011-01-25 02-36
52,2011-01-25 02-37
31,2011-01-25 02-38
21,2011-01-25 02-39
21,2011-01-25 02-40
