|   type | thread_id |                       thread_id |
|      0 |      3393 |                               3 |
|      3 |      3393 |                               1 |
|      0 |      3410 |                               1 |
|      3 |      3410 |                               2 |
|      4 |      3410 |                               1 |
|      0 |      3444 |                               1 |
|      3 |      3444 |                               2 |
|      0 |      3445 |                               3 |
|      3 |      3445 |                               8 |
|      0 |      3470 |                               1 |
|      0 |      3496 |                               9 |
|      0 |      3529 |                               3 |
|      3 |      3535 |                               4 |
|      4 |      3535 |                               1 |
|      0 |      3568 |                               5 |
|      0 |      3574 |                               2 |
|      2 |      3574 |                               2 |
|      3 |      3574 |                               4 |
|      3 |      3653 |                               1 |
|      4 |      3653 |                               1 |
|      0 |      3663 |                               2 |
|      3 |      3663 |                               2 |
|      4 |      3663 |                               2 |
|      0 |      3735 |                               4 |
|      3 |      3735 |                               1 |
|      0 |      3790 |                               1 |
|      0 |      3810 |                               3 |
|      8 |      3810 |                               2 |
|      0 |      3839 |                               3 |
|      3 |      3839 |                               1 |
|      0 |      3891 |                               1 |
|      2 |      3891 |                               1 |
|      3 |      3891 |                               3 |
|      5 |      3891 |                               1 |
|      8 |      3891 |                               1 |
|      4 |      3895 |                               1 |
|      0 |      3907 |                               1 |
|      4 |      3907 |                               1 |
|      0 |      3920 |                               3 |
|      3 |      3920 |                               2 |
|      0 |      3932 |                               2 |
|      3 |      3932 |                               2 |
|      0 |      3950 |                               3 |
|      0 |      3997 |                               2 |
|      3 |      3997 |                               1 |
|      0 |      4006 |                               1 |
|      0 |      4099 |                               3 |
|      0 |      4129 |                               4 |
|      3 |      4129 |                               2 |
|      3 |      4191 |                               1 |
|      4 |      4191 |                               1 |
|      0 |      4259 |                              10 |
|      3 |      4259 |                               6 |
|      0 |      4261 |                               1 |
|      0 |      4274 |                               2 |
|      3 |      4274 |                               2 |
|      0 |      4296 |                               1 |
|      0 |      4314 |                               4 |
|      2 |      4314 |                               1 |
|      0 |      4361 |                               5 |
|      3 |      4361 |                               9 |
|      0 |      4408 |                               1 |
|      3 |      4408 |                               2 |
|      3 |      4524 |                               1 |
|      4 |      4524 |                               1 |
|      6 |      4524 |                               1 |
|      0 |      4527 |                              13 |
|      1 |      4527 |                               1 |
|      3 |      4527 |                               1 |
|      2 |      4595 |                               2 |
|      4 |      4595 |                               1 |
|      0 |      4597 |                               3 |
|      0 |      4634 |                              10 |
|      3 |      4634 |                               4 |
|      0 |      4684 |                               2 |
|      0 |      4700 |                               3 |
|      2 |      4700 |                               1 |
|      3 |      4700 |                               2 |
|      0 |      4796 |                               1 |
|      3 |      4796 |                               2 |
|      0 |      4834 |                               1 |
|      2 |      4834 |                               1 |
|      3 |      4834 |                               3 |
|      0 |      4878 |                               5 |
|      3 |      4878 |                               2 |
|      8 |      4878 |                               1 |
|      0 |      4893 |                               2 |
|      2 |      4929 |                               2 |
|      3 |      4929 |                               1 |
|      0 |      4930 |                               1 |
|      2 |      4930 |                               1 |
|      3 |      4930 |                               5 |
|      0 |      4955 |                               2 |
|      0 |      4991 |                               3 |
|      2 |      4995 |                               1 |
|      4 |      4995 |                               1 |
|      0 |      5053 |                              14 |
|      0 |      5083 |                               2 |
|      0 |      5096 |                               5 |
|      3 |      5096 |                               1 |
|      0 |      5135 |                               2 |
|      3 |      5135 |                               2 |
|      0 |      5200 |                               1 |
|      3 |      5200 |                               1 |
|      8 |      5200 |                               1 |
|      0 |      5228 |                               1 |
|      0 |      5243 |                               2 |
|      3 |      5243 |                               1 |
|      0 |      5247 |                               3 |
|      2 |      5247 |                               1 |
|      0 |      5262 |                               2 |
|      0 |      5429 |                               1 |
|      0 |      5450 |                               1 |
|      3 |      5450 |                               1 |
|      0 |      5451 |                               3 |
|      0 |      5459 |                               2 |
|      3 |      5459 |                               2 |
|      3 |      5464 |                               1 |
|      4 |      5464 |                               1 |
|      8 |      5464 |                               1 |
